,precision,recall,f1-score,support
alureon,0.2608904279386978,0.3875776397515528,0.2715242644071326,966.0
banjori,0.9993799516268258,1.0,0.9996897086524742,966.0
bedep,0.46904170388364497,0.5726708074534163,0.475899057780215,966.0
ccleaner,0.9859329094619277,1.0,0.992912248964935,966.0
chinad,0.8159934441481373,0.8929606625258799,0.8420352452094798,966.0
corebot,0.9947931332400222,0.9836438923395445,0.9891561166383168,966.0
cryptolocker,0.40998528030477865,0.2349896480331263,0.2842562966674799,966.0
dircrypt,0.254948593185966,0.21780538302277436,0.23223292608043514,966.0
dyre,0.9969086845190269,1.0,0.9984507842397662,966.0
fobber_v1,0.7235207412555501,0.8875776397515527,0.7936615026555092,966.0
fobber_v2,0.2661334025190116,0.34451345755693585,0.2645077579295073,966.0
gozi_gpl,0.9076851503694415,0.9420289855072463,0.9239943790205402,966.0
gozi_luther,0.7755506209299701,0.8821946169772257,0.8235772962213485,966.0
gozi_nasa,0.6224201845165619,0.7370600414078676,0.6576808443624399,966.0
gozi_rfc4343,0.7411741888228647,0.47867494824016565,0.5723019827360327,966.0
kraken_v1,0.7543893763827356,0.6600414078674948,0.691740670403161,966.0
kraken_v2,0.46178129784843625,0.3917184265010352,0.4113692700109712,966.0
locky,0.38303103386295423,0.20476190476190476,0.22893186198954005,966.0
matsnu,0.8522419282207123,0.9492753623188406,0.8948500520989209,966.0
murofet_v1,0.9539813409162716,0.9674948240165632,0.9600282658983961,966.0
murofet_v2,0.7653263004025587,0.9565217391304348,0.8484432015822769,966.0
murofet_v3,0.9991679660429661,0.9871635610766045,0.9931025524158976,966.0
necurs,0.3808587895192572,0.24886128364389232,0.2577741916345759,966.0
nymaim,0.9267729487159819,0.8014492753623189,0.8586554606099325,966.0
padcrypt,0.9433398613997284,0.9763975155279503,0.9589157151385473,966.0
pizd,0.6421056629316924,0.5525879917184265,0.5570532483202731,966.0
proslikefan,0.44424066090267933,0.46273291925465837,0.4398621026353724,966.0
pushdo,0.8001053173952124,0.801863354037267,0.7986283245563467,966.0
pykspa,0.26157443627014815,0.224223602484472,0.18866164738678728,966.0
pykspa_noise,0.2611800535644381,0.1629399585921325,0.17899002341559758,966.0
qadars,0.8687082955059017,0.6625258799171843,0.7285134214296785,966.0
qakbot,0.6088796510745424,0.32008281573498965,0.35708236263574633,966.0
ramdo,0.8601135943036663,0.9942028985507246,0.9204439979888528,966.0
ramnit,0.16755618536855016,0.13561076604554864,0.13766917164025727,966.0
ranbyus_v1,0.48840149029930674,0.41594202898550725,0.41461631248413433,966.0
ranbyus_v2,0.4872843048728962,0.5515527950310559,0.50377628425598,966.0
rovnix,0.8973633525166699,0.8496894409937887,0.8703337086471145,966.0
shiotob,0.6692586881578615,0.5664596273291925,0.6050126533212783,966.0
simda,0.7383385100650239,0.7008281573498965,0.7170035730634722,966.0
sisron,0.9850705367519715,0.996687370600414,0.990838526651444,966.0
suppobox_1,0.6255675777140711,0.7093167701863355,0.6309551319352199,966.0
suppobox_2,0.8749726001329365,0.8254658385093168,0.8459852586629696,966.0
suppobox_3,0.9698784231523723,0.9923395445134575,0.9808413361904389,966.0
symmi,0.9807207066969992,0.9975155279503106,0.9890319069823867,966.0
tempedreve,0.3466126193906525,0.36356107660455483,0.3078710158906073,966.0
tinba,0.3374102844331947,0.3175983436853002,0.2784802371781311,966.0
vawtrak_v1,0.9751890109812308,0.9962732919254659,0.9855824548416121,966.0
vawtrak_v2,0.6408049359608725,0.739544513457557,0.6705013473802286,966.0
vawtrak_v3,0.6617637788870606,0.658592132505176,0.6465483287850848,966.0
zeus-newgoz,0.9993752072765627,0.9821946169772258,0.9905996491618636,966.0
legit,0.7354481304629246,0.6132505175983438,0.6579999061563754,966.0
accuracy,0.6725287216335809,0.6725287216335809,0.6725287216335809,0.6725287216335809
macro avg,0.6857484955902641,0.6725287216335809,0.6591877173518644,49266.0
weighted avg,0.685748495590264,0.6725287216335809,0.6591877173518644,49266.0
