,precision,recall,f1-score,support
alureon,0.22091185799151591,0.3051881993896236,0.21163839820823388,983.0
banjori,0.9930072453262797,1.0,0.9964718822587131,983.0
bedep,0.36113062716326505,0.6382502543234996,0.43359731557596676,983.0
ccleaner,0.9674418039875897,1.0,0.9833745937704041,983.0
chinad,0.7835525162004453,0.7005086469989827,0.7329829506275002,983.0
corebot,0.9918095029464746,0.965412004069176,0.9783432083640731,983.0
cryptolocker,0.2602655009977176,0.14954221770091558,0.16384968287625976,983.0
dircrypt,0.2171159143413112,0.08179043743641913,0.10469862878640268,983.0
dyre,0.9921628283308188,1.0,0.9960571600403757,983.0
fobber_v1,0.6121333164571088,0.88646998982706,0.716427151358339,983.0
fobber_v2,0.2066186555190294,0.24801627670396745,0.2066871682501103,983.0
gozi_gpl,0.7871779779013979,0.9719226856561548,0.8666335344256304,983.0
gozi_luther,0.7053404969499454,0.8697863682604273,0.771418064080185,983.0
gozi_nasa,0.5429372666025641,0.5790437436419127,0.5489635710785102,983.0
gozi_rfc4343,0.5462997448294822,0.503763987792472,0.5085320929632104,983.0
kraken_v1,0.6207187738978902,0.6937945066124109,0.6266636917507787,983.0
kraken_v2,0.35406483036420744,0.22848423194303152,0.2682396152718221,983.0
locky,0.2584094230154178,0.2931841302136317,0.20662337101542155,983.0
matsnu,0.8990637949305169,0.7943031536113937,0.8372656881489752,983.0
murofet_v1,0.8007942910682779,0.9070193285859613,0.8241671392842829,983.0
murofet_v2,0.7652523559804972,0.8315361139369276,0.773391636972812,983.0
murofet_v3,0.9890385616614662,0.9753814852492371,0.9819164383217245,983.0
necurs,0.29907576202065494,0.10315361139369277,0.13500005527924205,983.0
nymaim,0.8638621839793746,0.7194303153611393,0.7732169228598835,983.0
padcrypt,0.9581039502612428,0.9281790437436419,0.9416112639509672,983.0
pizd,0.5447343713757323,0.4099694811800611,0.4361349284853394,983.0
proslikefan,0.4139349280614485,0.427263479145473,0.39847953296599614,983.0
pushdo,0.715453421280903,0.6573753814852492,0.6424028070575505,983.0
pykspa,0.26434148045379147,0.17355035605289929,0.1820258948548318,983.0
pykspa_noise,0.25079221120370804,0.15320447609359106,0.18412458746211663,983.0
qadars,0.7004241938807503,0.6738555442522889,0.6780860647243158,983.0
qakbot,0.3228019587992833,0.19308240081383518,0.21385552863799262,983.0
ramdo,0.8481353308003621,0.9416073245167853,0.8867763136726289,983.0
ramnit,0.17357400937061546,0.09908443540183114,0.12417044932814485,983.0
ranbyus_v1,0.34318269197983853,0.318616480162767,0.2731496257620268,983.0
ranbyus_v2,0.40454151181595693,0.3938962360122075,0.35433771970151906,983.0
rovnix,0.8683902765250613,0.7175991861648017,0.7840919625438838,983.0
shiotob,0.6597700828121132,0.3977619532044761,0.4592223295335063,983.0
simda,0.6649777579479607,0.5969481180061038,0.618661323008691,983.0
sisron,0.9096349090478432,0.9814852492370296,0.9435651406890461,983.0
suppobox_1,0.5026390651278263,0.7265513733468973,0.5876078419666018,983.0
suppobox_2,0.8450673810328851,0.7324516785350965,0.7799249791598227,983.0
suppobox_3,0.9624467451153013,0.9877924720244151,0.974740086613499,983.0
symmi,0.9492035730797251,0.9973550356052898,0.9724940352948254,983.0
tempedreve,0.2864070015608277,0.20081383519837237,0.20152079448653656,983.0
tinba,0.22691452347514263,0.14547304170905392,0.16229737131605662,983.0
vawtrak_v1,0.9716922939129173,0.9892166836215667,0.9803506696464455,983.0
vawtrak_v2,0.5043634595971934,0.5839267548321465,0.5334000886452834,983.0
vawtrak_v3,0.5552908363652895,0.5794506612410987,0.5624012056250873,983.0
zeus-newgoz,0.9215869847646652,0.9692777212614446,0.9395130729490047,983.0
legit,0.7095150507028578,0.4939979654120041,0.5742491484631664,983.0
accuracy,0.6061915305287935,0.6061915305287935,0.6061915305287935,0.6061915305287935
macro avg,0.6179628477022449,0.6061915305287935,0.5889285240806615,50133.0
weighted avg,0.617962847702245,0.6061915305287935,0.5889285240806615,50133.0
