,precision,recall,f1-score,support
alureon,0.24046565409029075,0.34227467811158796,0.25219435895205944,932.0
banjori,1.0,1.0,1.0,932.0
bedep,0.6072207583989205,0.5665236051502146,0.5575963839748133,932.0
ccleaner,0.9861387024618505,1.0,0.9929948483786616,932.0
chinad,0.9071882953880952,0.9304721030042918,0.9167847406203757,932.0
corebot,0.9993534422566681,0.9873390557939914,0.9932942532857526,932.0
cryptolocker,0.36768581929762906,0.44120171673819736,0.3435153795630197,932.0
dircrypt,0.26766921311565745,0.3757510729613734,0.27027667799997773,932.0
dyre,0.9985003821340293,1.0,0.9992495596378255,932.0
fobber_v1,0.7779442310089927,0.9562231759656651,0.8561087923785518,932.0
fobber_v2,0.30156041456323396,0.12939914163090127,0.16598144027715728,932.0
gozi_gpl,0.9371922063792113,0.9716738197424892,0.9538761513280738,932.0
gozi_luther,0.7517890587931466,0.9266094420600858,0.8236682271813638,932.0
gozi_nasa,0.730370169096666,0.7622317596566524,0.7413688672227802,932.0
gozi_rfc4343,0.7722883670287612,0.6190987124463521,0.6813650854946993,932.0
kraken_v1,0.7698032219014465,0.6914163090128755,0.7217557064489927,932.0
kraken_v2,0.4826814203007753,0.5148068669527897,0.43326701907342835,932.0
locky,0.5360293991152945,0.3197424892703863,0.3933245538437201,932.0
matsnu,0.9103049439978641,0.951502145922747,0.9295940656424581,932.0
murofet_v1,0.9490595169717974,0.9967811158798284,0.9718456136329643,932.0
murofet_v2,0.7872587767057585,0.9259656652360515,0.843223141815306,932.0
murofet_v3,1.0,0.9939914163090128,0.9969833295321042,932.0
necurs,0.619657983610644,0.34463519313304725,0.4268804758392508,932.0
nymaim,0.9292164101342933,0.8384120171673819,0.8798465596014464,932.0
padcrypt,0.988207606009408,0.951716738197425,0.9695182776059846,932.0
pizd,0.7992453899260241,0.4875536480686695,0.5405568935208784,932.0
proslikefan,0.563155856998103,0.4680257510729614,0.5103939244891598,932.0
pushdo,0.7995250424837235,0.9139484978540773,0.8482049668258954,932.0
pykspa,0.2988273829465596,0.1665236051502146,0.19207072887285367,932.0
pykspa_noise,0.33621893426259336,0.16394849785407725,0.20246543383321,932.0
qadars,0.9078415301462517,0.8145922746781116,0.8525474559869484,932.0
qakbot,0.6312786084195442,0.38626609442060084,0.4593980169397008,932.0
ramdo,0.930963578640366,0.971244635193133,0.9485791815177009,932.0
ramnit,0.24219749839686905,0.1667381974248927,0.16478556543091016,932.0
ranbyus_v1,0.5903308462383936,0.6,0.5546376070215164,932.0
ranbyus_v2,0.6771378342442955,0.6972103004291845,0.6712503500958412,932.0
rovnix,0.9378866732072039,0.9072961373390559,0.9220807981822714,932.0
shiotob,0.7854453914520212,0.6658798283261803,0.716010017073514,932.0
simda,0.7879186099959983,0.836266094420601,0.8053323285498306,932.0
sisron,0.9887558974340503,0.9976394849785407,0.9931106811690258,932.0
suppobox_1,0.6312072994982525,0.8839055793991417,0.7175525551961149,932.0
suppobox_2,0.9316010603288127,0.8830472103004293,0.9059524213443394,932.0
suppobox_3,0.9722941457490238,0.9963519313304723,0.9840781553900921,932.0
symmi,0.9827504524970709,0.9997854077253219,0.9911824823174781,932.0
tempedreve,0.3308876406386275,0.5163090128755365,0.3684154805378396,932.0
tinba,0.5411280236694559,0.2366952789699571,0.31162467995590737,932.0
vawtrak_v1,0.9854331520639823,1.0,0.9926571007330306,932.0
vawtrak_v2,0.8991531138140703,0.7285407725321889,0.7964453992551356,932.0
vawtrak_v3,0.7247099053063033,0.9334763948497853,0.8128817724311469,932.0
zeus-newgoz,0.9995708154506439,0.997854077253219,0.998711177691464,932.0
legit,0.8289759490760759,0.6240343347639485,0.7105644084240461,932.0
accuracy,0.7172725742657579,0.7172725742657579,0.7172725742657579,0.7172725742657579
macro avg,0.739647580894995,0.7172725742657577,0.707568688080718,47532.0
weighted avg,0.7396475808949952,0.7172725742657579,0.707568688080718,47532.0
