,precision,recall,f1-score,support
alureon,0.31823878313602727,0.38820809248554916,0.31525061592899045,865.0
banjori,0.999769053117783,1.0,0.9998844598497978,865.0
bedep,0.5287725503275176,0.6242774566473989,0.5685266413721872,865.0
ccleaner,0.9953996443182043,1.0,0.9976938585600715,865.0
chinad,0.8726283773159146,0.9710982658959537,0.9176130471091895,865.0
corebot,0.998844731607684,0.9958381502890173,0.9973369517928434,865.0
cryptolocker,0.5483846841256981,0.4011560693641618,0.4347933130440979,865.0
dircrypt,0.304058011981272,0.3112138728323699,0.2924687023355581,865.0
dyre,0.9988468619959345,1.0,0.9994226992725904,865.0
fobber_v1,0.8000220987178587,0.9646242774566474,0.8738349817155463,865.0
fobber_v2,0.32216407414250237,0.3914450867052023,0.33297329876406756,865.0
gozi_gpl,0.9639306606914143,0.9574566473988438,0.9602887338693991,865.0
gozi_luther,0.8634624342374408,0.926242774566474,0.8904281745677466,865.0
gozi_nasa,0.7818974230360636,0.7905202312138728,0.7727569976047087,865.0
gozi_rfc4343,0.7958227708149421,0.7021965317919076,0.7351662317615266,865.0
kraken_v1,0.7878867162658368,0.7433526011560694,0.7499845665141558,865.0
kraken_v2,0.6068856234077222,0.48300578034682085,0.49764379654280005,865.0
locky,0.6413687116596141,0.418728323699422,0.5024360720190482,865.0
matsnu,0.9253411294238193,0.9630057803468208,0.9435125928462457,865.0
murofet_v1,0.9764131386094117,0.9969942196531791,0.9865422983164631,865.0
murofet_v2,0.8236226757066343,0.9815028901734102,0.8951686758045897,865.0
murofet_v3,1.0,0.9958381502890173,0.9979142516739443,865.0
necurs,0.7323134688749462,0.5477456647398843,0.6217981737408975,865.0
nymaim,0.9386409079125404,0.8765317919075144,0.9063229836755387,865.0
padcrypt,0.9660119073114961,0.9944508670520232,0.9798965171900246,865.0
pizd,0.8208084709887729,0.8709826589595375,0.8371973019923338,865.0
proslikefan,0.6015514893079662,0.5253179190751445,0.5519530643252086,865.0
pushdo,0.9450341222632959,0.9384971098265897,0.941355580800878,865.0
pykspa,0.32143836810623627,0.2691329479768786,0.27149433676020296,865.0
pykspa_noise,0.32977849226657086,0.2416184971098266,0.2398472811545996,865.0
qadars,0.9117007662240081,0.867514450867052,0.8863968000615314,865.0
qakbot,0.615192611312652,0.47699421965317923,0.5238669807256261,865.0
ramdo,0.9677922638787978,0.9995375722543353,0.9833449254927741,865.0
ramnit,0.26929574146439805,0.1731791907514451,0.17702099392300422,865.0
ranbyus_v1,0.5719519194218137,0.8189595375722544,0.6553029028332856,865.0
ranbyus_v2,0.7203007551820045,0.7452023121387283,0.7287494390610408,865.0
rovnix,0.9112596212649986,0.9495953757225433,0.9291812847489729,865.0
shiotob,0.82098989187567,0.661271676300578,0.7250371274979646,865.0
simda,0.8929999762464833,0.9183815028901735,0.9051948586636545,865.0
sisron,0.993816160175825,1.0,0.996893430006154,865.0
suppobox_1,0.8707789589617674,0.8654335260115606,0.8630801957441543,865.0
suppobox_2,0.9637987601499114,0.9419653179190751,0.9525767089334437,865.0
suppobox_3,0.9878955040617841,0.998843930635838,0.9933362211711856,865.0
symmi,0.9940295041938201,0.9988439306358382,0.9964264967944503,865.0
tempedreve,0.4921823653859699,0.5458959537572253,0.5116059861305744,865.0
tinba,0.48629176411073577,0.46473988439306363,0.4522185744079186,865.0
vawtrak_v1,0.9910764541589693,1.0,0.9955149144382835,865.0
vawtrak_v2,0.9316758971286596,0.9648554913294799,0.9478394694996849,865.0
vawtrak_v3,0.9031283694484088,0.9636994219653179,0.9313093249743847,865.0
zeus-newgoz,0.9995375722543353,0.9983815028901735,0.9989590693732009,865.0
legit,0.8668823522827178,0.7033526011560693,0.7739887004664344,865.0
accuracy,0.7711300011334015,0.7711300011334015,0.7711300011334015,0.7711300011334015
macro avg,0.777880678252056,0.7711300011334014,0.7635166785461368,44115.0
weighted avg,0.7778806782520558,0.7711300011334015,0.7635166785461367,44115.0
