,precision,recall,f1-score,support
alureon,0.35707676295103574,0.46497109826589594,0.3820408457828494,865.0
banjori,1.0,1.0,1.0,865.0
bedep,0.6090976016032329,0.5930635838150289,0.5885006196167947,865.0
ccleaner,0.9933506712853483,1.0,0.996661432734452,865.0
chinad,0.9777946054301629,0.9433526011560694,0.9597214836661123,865.0
corebot,1.0,0.9935260115606935,0.9967517383453763,865.0
cryptolocker,0.49835681205710475,0.5142196531791907,0.48093174544729933,865.0
dircrypt,0.3034197573150065,0.33502890173410405,0.3086001871980585,865.0
dyre,0.9993076921027887,1.0,0.9996535129675808,865.0
fobber_v1,0.8415977366955139,0.932485549132948,0.8841582328161272,865.0
fobber_v2,0.38086372056956297,0.2929479768786127,0.30784826477116234,865.0
gozi_gpl,0.9544695445148724,0.971791907514451,0.962838107498879,865.0
gozi_luther,0.8456927345991965,0.9458959537572256,0.8912495605013764,865.0
gozi_nasa,0.8536094621421121,0.7105202312138729,0.7685558743448604,865.0
gozi_rfc4343,0.7640394167601919,0.7752601156069365,0.7556313401677619,865.0
kraken_v1,0.7857647182789746,0.7139884393063584,0.7450398084220217,865.0
kraken_v2,0.57647277034226,0.5077456647398844,0.5350731744401899,865.0
locky,0.6537749116405969,0.4772254335260116,0.5415383274737146,865.0
matsnu,0.9227024923927962,0.9639306358381503,0.9423366996662693,865.0
murofet_v1,0.9892082318078568,0.9930635838150289,0.9911163215212764,865.0
murofet_v2,0.8546946128012411,0.9572254335260115,0.9027804161331311,865.0
murofet_v3,1.0,0.9974566473988439,0.9987259792923409,865.0
necurs,0.7527028020569284,0.578728323699422,0.6499234600147228,865.0
nymaim,0.9531682215174925,0.8795375722543353,0.9147512093937816,865.0
padcrypt,0.9753546349978695,0.9949132947976878,0.9850178951312119,865.0
pizd,0.8269714633082715,0.8760693641618499,0.84807665175225,865.0
proslikefan,0.6284582145996017,0.5054335260115608,0.5404698039453194,865.0
pushdo,0.9257563905533679,0.9549132947976877,0.938994349225279,865.0
pykspa,0.3221925161345296,0.22219653179190751,0.2559827810039508,865.0
pykspa_noise,0.3023789003943123,0.36693641618497114,0.31209923040163245,865.0
qadars,0.9300121771374389,0.9197687861271676,0.9243058497485649,865.0
qakbot,0.5972983657963197,0.47861271676300576,0.5226897754136484,865.0
ramdo,0.9812590897352165,1.0,0.9905185379024453,865.0
ramnit,0.2881975396371034,0.29687861271676297,0.2530795918643275,865.0
ranbyus_v1,0.7203419282056288,0.7872832369942195,0.7460772405087461,865.0
ranbyus_v2,0.7365456698714938,0.7653179190751445,0.7466794789975347,865.0
rovnix,0.9429554873979328,0.9273988439306358,0.9343426916214039,865.0
shiotob,0.878916511792772,0.806242774566474,0.839982269918322,865.0
simda,0.8559465209282153,0.9558381502890173,0.9024117424705447,865.0
sisron,0.9977021875156327,0.9997687861271676,0.9987318518332117,865.0
suppobox_1,0.879591557031055,0.8640462427745665,0.8687610643134003,865.0
suppobox_2,0.9532957385795182,0.9625433526011561,0.9576316570287929,865.0
suppobox_3,0.990839161006933,0.998843930635838,0.9948207450809118,865.0
symmi,0.9924332672591987,1.0,0.9962008719791037,865.0
tempedreve,0.5909769776533137,0.5667052023121387,0.5633854994048291,865.0
tinba,0.6208474758809455,0.5895953757225434,0.5925243526010224,865.0
vawtrak_v1,0.9931157873009244,0.9997687861271676,0.9964295590594461,865.0
vawtrak_v2,0.9392942223447698,0.9583815028901734,0.9485040334929339,865.0
vawtrak_v3,0.9221452425085335,0.9623121387283238,0.9410005241308642,865.0
zeus-newgoz,0.9995381062355658,0.9995375722543353,0.9995374382181141,865.0
legit,0.8180775140991475,0.76,0.7846958489599289,865.0
accuracy,0.7855151309078544,0.7855151309078544,0.7855151309078544,0.7855151309078544
macro avg,0.7936785867994096,0.7855151309078545,0.7821054838867427,44115.0
weighted avg,0.7936785867994096,0.7855151309078544,0.7821054838867427,44115.0
